,Route,Year,Ridership
395,B100,2023,990139.4582
396,B103,2023,2330243.7743
397,Bx23,2023,841682.4925
398,Q6,2023,2097682.3498
399,Q7,2023,871282.6102
400,Q8,2023,2314451.1946
401,Q9,2023,914076.6572
402,Q10,2023,4602560.5836
403,Q11,2023,872945.4093
404,Q18,2023,2132313.2828
405,Q19,2023,934038.5538
406,Q21,2023,599983.3857
407,Q22,2023,1070804.6688
408,Q23,2023,3944576.1054
409,Q25,2023,4768472.4656
410,Q29,2023,1357897.1695
411,Q33,2023,1729694.0946
412,Q35,2023,813815.4702
413,Q37,2023,1615963.0177
414,Q38,2023,1743206.4788
415,Q39,2023,1140122.8087
416,Q40,2023,934122.3211
417,Q41,2023,1416789.7295
418,Q47,2023,1994587.7015
419,Q49,2023,2081627.2831
420,Q50,2023,837290.2838
421,Q52/53Lcl/SBS,2023,4186151.2062
422,Q60,2023,3541798.5324
423,Q64,2023,1725119.7037
424,Q65,2023,4954300.8783
425,Q66,2023,3706781.5265
426,Q67,2023,532539.9986
427,Q69,2023,2260212.5707
428,Q70SBS,2023,21.0
429,Q72,2023,1624412.4436
430,Q100,2023,809431.3367
431,Q101,2023,810551.7839
432,Q102,2023,640660.5729
433,Q103,2023,325286.7902
434,Q104,2023,552733.237
435,Q110,2023,1282258.9066
436,Q111,2023,2420076.0495
437,Q112,2023,1065104.4969
438,Q113,2023,730543.336
439,Q114,2023,1338410.9044
440,Local Total,2023,78664392.591
441,Express Routes,2023,
442,BM1,2023,244030.0
443,BM2,2023,205192.0
444,BM3,2023,175696.0
445,BM4,2023,124733.0
446,BM5,2023,169740.0
447,BxM1,2023,363850.0
448,BxM2,2023,190098.0
449,BxM3,2023,201590.0
450,BxM4,2023,126800.0
451,BxM6,2023,185234.0
452,BxM7,2023,658803.0
453,BxM8,2023,423443.0
454,BxM9,2023,474414.0
455,BxM10,2023,418280.0
456,BxM11,2023,301161.0
457,QM2 / QM32,2023,301936.0
458,QM4 / QM44,2023,144140.0
459,QM5 / QM35,2023,388451.0
460,QM6 / QM36,2023,211345.0
461,QM15,2023,368977.0
462,Express Total,2023,7005979.0
463,,2023,
464,,2023,
465,,2023,
466,,2023,
467,Adjustment,2023,546294.7596
468,Grand Total,2023,86216666.3506
469,,2023,
470,,2023,
471,,2023,
472,,2023,
473,"* MTA Bus Routes that were changed between 2018 and 2023; see ""Notes"" for details.",2023,
